Molecule,is_valid,is_active,lipinski
C=CCCN1C[C@@H](C)[C@H](CCNC(=O)COc2ccco2)C1,1,1,True
CC1(C(=O)NC[C@@H](CO)NC(=O)C(C)(C)c2cnc[nH]2)C[C@@H]2C[C@H]2C1,1,1,True
CC(=O)NCC(=O)NCc1cn(C2CN([C@@H](C)C(=O)N(C)C)C2)nn1,1,1,True
C=CCCCC(=O)N1CCn2c(nnc2C(=O)N2CC=CC2)C[C@@H]1C,1,1,True
CCn1ncc(CNC[C@@H]2CN(C(=O)Cn3ncnn3)CCO2)n1,1,1,True
Cc1ccoc1C(=O)N1C[C@H]2CC[C@H]1[C@H]1CN(CCF)C[C@H]12,1,1,True
CCCCNC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]2O1)N1CCSCC1,1,1,True
C[C@@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)no2)C[C@@H](C)N1,1,1,True
Cc1cnn(C)c1C(=O)NC[C@H]1CCN1C(=O)[C@@H]1C[C@@]12CCOC2,1,1,True
C[C@@H](CCCCNC[C@H]1CCc2ncnn21)NC(=O)/C=C/C1CC1,1,1,True
CN(C)CCn1cc(C(=O)N2C[C@H]3C[C@H](C)C[C@H]3C2)nn1,1,1,True
COc1cc(C(=O)N[C@@H]2CC23CCN(CCF)CC3)ncn1,1,1,True
CC[C@@H]1CN(C(=O)COCc2ncc(C)o2)CC[C@H](CC)O1,1,1,True
Cc1ccc(CN2[C@H]3C[C@@H]4[C@H]3[C@H]3C[C@H]4[C@@H](CO)C[C@H]23)cn1,1,1,True
CCO[C@@H](C)C(=O)N1C[C@H]2CC[C@@H](C1)N2C(=O)c1cncnc1,1,1,True
C[C@H]1C[C@@H]1C(=O)N[C@H]1C[C@H](NCCOc2ccccc2Cl)C1,1,1,True
COc1ccccc1-c1nncn1CN1C[C@H]2[C@H](CO)[C@H]2C1,1,1,True
CN1C[C@H]2C[C@@H](C1)[C@H]2N[C@@H]1C[C@@H](C)O[C@@]2(C)C[C@H]1C2(Cl)Cl,1,1,True
Cn1cnc(C(=O)N[C@H]2C[C@@H](CNC(=O)[C@]34C[C@H]3CCCC4)C2)n1,1,1,True
C[C@H]1C[C@@H](Nc2nc3ccc(F)cc3o2)CO1,1,1,True
C[C@@H]1CN(C(=O)c2nc[nH]n2)C[C@H]1NCCCS(C)(=O)=O,1,1,True
